1712717056918247169 ('DLO', <Side.BUY: 1>) 1 4608 5
1712717056918247170 ('MKU', <Side.BUY: 1>) 1 4533 12
1712717056918247171 ('IGM', <Side.BUY: 1>) 1 5220 22
1712717056918247172 ('BRV', <Side.BUY: 1>) 1 4321 0
1712717056918247191 ('IGM', <Side.BUY: 1>) 2 5220 2
1712717056918247193 ('IGM', <Side.BUY: 1>) 2 5202 0
1712717056918247185 ('MKU', <Side.BUY: 1>) 2 4525 0
1712717056918247197 ('BRV', <Side.BUY: 1>) 2 4301 0
1712717056918247199 ('BRV', <Side.BUY: 1>) 2 4281 0
1712717056918247201 ('BRV', <Side.BUY: 1>) 2 4261 0
1712717056918247174 ('EPT', <Side.SELL: 2>) 2 4961 0
1712717056918247179 ('DLO', <Side.BUY: 1>) 2 4593 0
1712717056918247187 ('MKU', <Side.BUY: 1>) 2 4505 0
[CANCELLED] 1712717056918247168 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247173 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247175 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247176 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247177 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247178 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247180 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247181 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247182 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247183 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247184 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247186 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247188 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247189 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247190 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247192 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247194 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247195 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247196 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247198 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717056918247200 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717056918247202 ('BRV', <Side.SELL: 2>)
1712717056918247206 ('IGM', <Side.BUY: 1>) 1 5183 0
1712717056918247226 ('IGM', <Side.BUY: 1>) 2 5163 0
1712717056918247209 ('EPT', <Side.SELL: 2>) 2 5000 0
1712717056918247228 ('IGM', <Side.BUY: 1>) 2 5143 0
1712717056918247233 ('BRV', <Side.SELL: 2>) 2 4245 0
1712717056918247221 ('MKU', <Side.SELL: 2>) 2 4534 0
1712717056918247235 ('BRV', <Side.SELL: 2>) 2 4265 0
[CANCELLED] 1712717056918247203 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247208 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247210 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247211 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247212 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247213 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247204 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247214 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247215 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247216 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247217 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247218 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247219 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247205 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247220 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247222 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247223 ('MKU', <Side.SELL: 2>)
1712717056918247230 ('IGM', <Side.BUY: 1>) 2 5123 0
[CANCELLED] 1712717056918247224 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247225 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247227 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247229 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247231 ('IGM', <Side.SELL: 2>)
1712717056918247241 ('IGM', <Side.BUY: 1>) 1 5119 5
[CANCELLED] 1712717056918247207 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247232 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247234 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247236 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247237 ('BRV', <Side.SELL: 2>)
1712717056918247268 ('BRV', <Side.SELL: 2>) 2 4272 -3
1712717056918247256 ('MKU', <Side.SELL: 2>) 2 4557 0
1712717056918247261 ('IGM', <Side.BUY: 1>) 2 5104 0
1712717056918247244 ('EPT', <Side.SELL: 2>) 2 5031 0
1712717056918247270 ('BRV', <Side.SELL: 2>) 2 4289 0
1712717056918247258 ('MKU', <Side.SELL: 2>) 2 4577 0
[CANCELLED] 1712717056918247238 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247243 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247245 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247246 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247247 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247248 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247239 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247249 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247250 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247251 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247252 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247253 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247254 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247240 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247255 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247257 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247259 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247260 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247262 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247263 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247264 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247265 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247266 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247242 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247267 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247269 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247271 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247272 ('BRV', <Side.SELL: 2>)
1712717056918247297 ('IGM', <Side.SELL: 2>) 2 5121 -4
1712717056918247303 ('BRV', <Side.SELL: 2>) 2 4313 -3
1712717056918247279 ('EPT', <Side.SELL: 2>) 2 5063 0
[CANCELLED] 1712717056918247273 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247278 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247280 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247281 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247282 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247283 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247274 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247284 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247285 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247286 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247287 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247288 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247289 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247275 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247290 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247291 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247292 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247293 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247294 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247295 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247276 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247296 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247298 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247299 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247300 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247301 ('IGM', <Side.SELL: 2>)
1712717056918247311 ('IGM', <Side.BUY: 1>) 1 5091 8
[CANCELLED] 1712717056918247277 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247302 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247304 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247305 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717056918247306 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247307 ('BRV', <Side.SELL: 2>)
1712717056918247331 ('IGM', <Side.BUY: 1>) 2 5079 0
1712717056918247312 ('BRV', <Side.BUY: 1>) 1 4285 0
[CANCELLED] 1712717056918247308 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247313 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247314 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247315 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247316 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247317 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247318 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247309 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247319 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247320 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247321 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247322 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247323 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247324 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247310 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247325 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247326 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247327 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247328 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247329 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247330 ('MKU', <Side.SELL: 2>)
1712717056918247343 ('MKU', <Side.BUY: 1>) 1 4593 8
[CANCELLED] 1712717056918247332 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247333 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247334 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247335 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247336 ('IGM', <Side.SELL: 2>)
1712717056918247344 ('IGM', <Side.BUY: 1>) 1 5063 18
[CANCELLED] 1712717056918247337 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247338 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717056918247339 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247340 ('BRV', <Side.SELL: 2>)
1712717056918247345 ('BRV', <Side.BUY: 1>) 1 4275 24
1712717056918247364 ('IGM', <Side.BUY: 1>) 2 5057 4
1712717056918247370 ('BRV', <Side.BUY: 1>) 2 4262 17
1712717056918247342 ('DLO', <Side.BUY: 1>) 1 4590 0
1712717056918247372 ('BRV', <Side.BUY: 1>) 2 4259 0
1712717056918247358 ('MKU', <Side.BUY: 1>) 2 4581 0
1712717056918247352 ('DLO', <Side.BUY: 1>) 2 4570 0
[CANCELLED] 1712717056918247341 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247346 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247347 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247348 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247349 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247350 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247351 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247353 ('DLO', <Side.SELL: 2>)
